ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,JOBS_1000
AL,Alabama,00-0000,All Occupations,total,"1,883,310",1000.000
AL,Alabama,11-0000,Management Occupations,major,"69,100",36.689
AL,Alabama,11-1011,Chief Executives,detailed,"1,100",0.587
AL,Alabama,11-1021,General and Operations Managers,detailed,"27,240",14.466
AL,Alabama,11-1031,Legislators,detailed,"1,430",0.760
AL,Alabama,11-2011,Advertising and Promotions Managers,detailed,50,0.028
AL,Alabama,11-2021,Marketing Managers,detailed,550,0.292
AL,Alabama,11-2022,Sales Managers,detailed,"2,290",1.214
AL,Alabama,11-2031,Public Relations and Fundraising Managers,detailed,470,0.250
AL,Alabama,11-3011,Administrative Services Managers,detailed,690,0.369
AL,Alabama,11-3021,Computer and Information Systems Managers,detailed,"3,320",1.764
AL,Alabama,11-3031,Financial Managers,detailed,"4,390",2.330
AL,Alabama,11-3051,Industrial Production Managers,detailed,"2,880",1.532
AL,Alabama,11-3061,Purchasing Managers,detailed,900,0.480
AL,Alabama,11-3071,"Transportation, Storage, and Distribution Managers",detailed,670,0.357
AL,Alabama,11-3111,Compensation and Benefits Managers,detailed,90,0.050
AL,Alabama,11-3121,Human Resources Managers,detailed,"1,250",0.666
AL,Alabama,11-3131,Training and Development Managers,detailed,160,0.085
AL,Alabama,11-9021,Construction Managers,detailed,"2,590",1.375
AL,Alabama,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,130,0.070
AL,Alabama,11-9032,"Education Administrators, Elementary and Secondary School",detailed,"3,500",1.857
AL,Alabama,11-9033,"Education Administrators, Postsecondary",detailed,"2,210",1.176
AL,Alabama,11-9039,"Education Administrators, All Other",detailed,510,0.268
AL,Alabama,11-9041,Architectural and Engineering Managers,detailed,"2,610",1.387
AL,Alabama,11-9051,Food Service Managers,detailed,"2,160",1.148
AL,Alabama,11-9061,Funeral Service Managers,detailed,290,0.152
AL,Alabama,11-9081,Lodging Managers,detailed,510,0.271
AL,Alabama,11-9111,Medical and Health Services Managers,detailed,"2,610",1.387
AL,Alabama,11-9121,Natural Sciences Managers,detailed,190,0.099
AL,Alabama,11-9131,Postmasters and Mail Superintendents,detailed,280,0.147
AL,Alabama,11-9141,"Property, Real Estate, and Community Association Managers",detailed,450,0.239
AL,Alabama,11-9151,Social and Community Service Managers,detailed,"1,080",0.575
AL,Alabama,11-9161,Emergency Management Directors,detailed,190,0.100
AL,Alabama,11-9199,"Managers, All Other",detailed,"2,260",1.198
AL,Alabama,13-0000,Business and Financial Operations Occupations,major,"69,290",36.791
AL,Alabama,13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,190,0.103
AL,Alabama,13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,480,0.254
AL,Alabama,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"5,840",3.103
AL,Alabama,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"3,630",1.928
AL,Alabama,13-1032,"Insurance Appraisers, Auto Damage",detailed,**,**
AL,Alabama,13-1041,Compliance Officers,detailed,"1,410",0.749
AL,Alabama,13-1051,Cost Estimators,detailed,"2,110",1.119
AL,Alabama,13-1071,Human Resources Specialists,detailed,"5,060",2.684
AL,Alabama,13-1075,Labor Relations Specialists,detailed,920,0.489
AL,Alabama,13-1081,Logisticians,detailed,"3,520",1.869
AL,Alabama,13-1111,Management Analysts,detailed,"4,380",2.325
AL,Alabama,13-1121,"Meeting, Convention, and Event Planners",detailed,460,0.246
AL,Alabama,13-1131,Fundraisers,detailed,660,0.352
AL,Alabama,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,570,0.303
AL,Alabama,13-1151,Training and Development Specialists,detailed,"2,770",1.473
AL,Alabama,13-1161,Market Research Analysts and Marketing Specialists,detailed,"2,890",1.537
AL,Alabama,13-1199,"Business Operations Specialists, All Other",detailed,"6,510",3.456
AL,Alabama,13-2011,Accountants and Auditors,detailed,"14,840",7.879
AL,Alabama,13-2021,Appraisers and Assessors of Real Estate,detailed,740,0.393
AL,Alabama,13-2031,Budget Analysts,detailed,810,0.428
AL,Alabama,13-2041,Credit Analysts,detailed,420,0.222
AL,Alabama,13-2051,Financial Analysts,detailed,"1,390",0.740
AL,Alabama,13-2052,Personal Financial Advisors,detailed,"1,810",0.964
AL,Alabama,13-2053,Insurance Underwriters,detailed,690,0.368
AL,Alabama,13-2061,Financial Examiners,detailed,830,0.442
AL,Alabama,13-2071,Credit Counselors,detailed,100,0.052
AL,Alabama,13-2072,Loan Officers,detailed,"3,480",1.850
AL,Alabama,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"1,130",0.602
AL,Alabama,13-2082,Tax Preparers,detailed,510,0.270
AL,Alabama,13-2099,"Financial Specialists, All Other",detailed,700,0.371
AL,Alabama,15-0000,Computer and Mathematical Occupations,major,"38,260",20.317
AL,Alabama,15-1111,Computer and Information Research Scientists,detailed,240,0.127
AL,Alabama,15-1121,Computer Systems Analysts,detailed,"4,170",2.214
AL,Alabama,15-1122,Information Security Analysts,detailed,"1,170",0.620
AL,Alabama,15-1131,Computer Programmers,detailed,"5,850",3.108
AL,Alabama,15-1132,"Software Developers, Applications",detailed,"4,750",2.521
AL,Alabama,15-1133,"Software Developers, Systems Software",detailed,"4,340",2.306
AL,Alabama,15-1134,Web Developers,detailed,580,0.308
AL,Alabama,15-1141,Database Administrators,detailed,"1,730",0.919
AL,Alabama,15-1142,Network and Computer Systems Administrators,detailed,"4,580",2.434
AL,Alabama,15-1143,Computer Network Architects,detailed,870,0.460
AL,Alabama,15-1151,Computer User Support Specialists,detailed,"5,870",3.119
AL,Alabama,15-1152,Computer Network Support Specialists,detailed,"1,210",0.643
AL,Alabama,15-1199,"Computer Occupations, All Other",detailed,"1,660",0.879
AL,Alabama,15-2011,Actuaries,detailed,50,0.027
AL,Alabama,15-2031,Operations Research Analysts,detailed,950,0.502
AL,Alabama,15-2041,Statisticians,detailed,220,0.117
AL,Alabama,17-0000,Architecture and Engineering Occupations,major,"41,830",22.208
AL,Alabama,17-1011,"Architects, Except Landscape and Naval",detailed,940,0.498
AL,Alabama,17-1012,Landscape Architects,detailed,50,0.025
AL,Alabama,17-1021,Cartographers and Photogrammetrists,detailed,150,0.081
AL,Alabama,17-1022,Surveyors,detailed,680,0.362
AL,Alabama,17-2011,Aerospace Engineers,detailed,"4,200",2.230
AL,Alabama,17-2031,Biomedical Engineers,detailed,**,**
AL,Alabama,17-2041,Chemical Engineers,detailed,510,0.269
AL,Alabama,17-2051,Civil Engineers,detailed,"3,310",1.760
AL,Alabama,17-2061,Computer Hardware Engineers,detailed,"1,360",0.721
AL,Alabama,17-2071,Electrical Engineers,detailed,"5,030",2.672
AL,Alabama,17-2072,"Electronics Engineers, Except Computer",detailed,"2,110",1.121
AL,Alabama,17-2081,Environmental Engineers,detailed,740,0.393
AL,Alabama,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,470,0.251
AL,Alabama,17-2112,Industrial Engineers,detailed,"4,400",2.337
AL,Alabama,17-2131,Materials Engineers,detailed,550,0.291
AL,Alabama,17-2141,Mechanical Engineers,detailed,"3,520",1.871
AL,Alabama,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,180,0.094
AL,Alabama,17-2161,Nuclear Engineers,detailed,**,**
AL,Alabama,17-2171,Petroleum Engineers,detailed,140,0.073
AL,Alabama,17-2199,"Engineers, All Other",detailed,"3,530",1.872
AL,Alabama,17-3011,Architectural and Civil Drafters,detailed,"1,010",0.535
AL,Alabama,17-3012,Electrical and Electronics Drafters,detailed,420,0.222
AL,Alabama,17-3013,Mechanical Drafters,detailed,740,0.393
AL,Alabama,17-3019,"Drafters, All Other",detailed,220,0.114
AL,Alabama,17-3021,Aerospace Engineering and Operations Technicians,detailed,220,0.116
AL,Alabama,17-3022,Civil Engineering Technicians,detailed,"1,150",0.613
AL,Alabama,17-3023,Electrical and Electronics Engineering Technicians,detailed,"2,060",1.096
AL,Alabama,17-3024,Electro-Mechanical Technicians,detailed,70,0.037
AL,Alabama,17-3025,Environmental Engineering Technicians,detailed,240,0.130
AL,Alabama,17-3026,Industrial Engineering Technicians,detailed,"1,040",0.550
AL,Alabama,17-3027,Mechanical Engineering Technicians,detailed,770,0.411
AL,Alabama,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,860,0.455
AL,Alabama,17-3031,Surveying and Mapping Technicians,detailed,740,0.391
AL,Alabama,19-0000,"Life, Physical, and Social Science Occupations",major,"9,100",4.832
AL,Alabama,19-1013,Soil and Plant Scientists,detailed,50,0.029
AL,Alabama,19-1021,Biochemists and Biophysicists,detailed,**,**
AL,Alabama,19-1022,Microbiologists,detailed,120,0.066
AL,Alabama,19-1023,Zoologists and Wildlife Biologists,detailed,100,0.053
AL,Alabama,19-1029,"Biological Scientists, All Other",detailed,220,0.117
AL,Alabama,19-1031,Conservation Scientists,detailed,110,0.057
AL,Alabama,19-1032,Foresters,detailed,300,0.159
AL,Alabama,19-1041,Epidemiologists,detailed,40,0.021
AL,Alabama,19-1042,"Medical Scientists, Except Epidemiologists",detailed,550,0.292
AL,Alabama,19-1099,"Life Scientists, All Other",detailed,40,0.019
AL,Alabama,19-2012,Physicists,detailed,240,0.126
AL,Alabama,19-2021,Atmospheric and Space Scientists,detailed,200,0.106
AL,Alabama,19-2031,Chemists,detailed,710,0.375
AL,Alabama,19-2032,Materials Scientists,detailed,90,0.047
AL,Alabama,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,870,0.462
AL,Alabama,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,240,0.127
AL,Alabama,19-2099,"Physical Scientists, All Other",detailed,170,0.092
AL,Alabama,19-3031,"Clinical, Counseling, and School Psychologists",detailed,640,0.342
AL,Alabama,19-3039,"Psychologists, All Other",detailed,120,0.065
AL,Alabama,19-3051,Urban and Regional Planners,detailed,330,0.173
AL,Alabama,19-3091,Anthropologists and Archeologists,detailed,90,0.049
AL,Alabama,19-3093,Historians,detailed,50,0.028
AL,Alabama,19-3099,"Social Scientists and Related Workers, All Other",detailed,230,0.120
AL,Alabama,19-4011,Agricultural and Food Science Technicians,detailed,130,0.069
AL,Alabama,19-4021,Biological Technicians,detailed,830,0.443
AL,Alabama,19-4031,Chemical Technicians,detailed,750,0.399
AL,Alabama,19-4041,Geological and Petroleum Technicians,detailed,100,0.052
AL,Alabama,19-4051,Nuclear Technicians,detailed,100,0.054
AL,Alabama,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,430,0.230
AL,Alabama,19-4092,Forensic Science Technicians,detailed,170,0.091
AL,Alabama,19-4093,Forest and Conservation Technicians,detailed,250,0.131
AL,Alabama,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,600,0.318
AL,Alabama,21-0000,Community and Social Service Occupations,major,"17,510",9.298
AL,Alabama,21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,680,0.360
AL,Alabama,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"3,200",1.701
AL,Alabama,21-1013,Marriage and Family Therapists,detailed,220,0.115
AL,Alabama,21-1014,Mental Health Counselors,detailed,930,0.495
AL,Alabama,21-1015,Rehabilitation Counselors,detailed,940,0.498
AL,Alabama,21-1019,"Counselors, All Other",detailed,120,0.063
AL,Alabama,21-1021,"Child, Family, and School Social Workers",detailed,"3,840",2.038
