Date,Employed-Total,Unemployed-Total,Unemployment rate-Total,"Employed-Management, professional, and related occupations","Unemployed-Management, professional, and related occupations","Unemployment rate-Management, professional, and related occupations","Employed-Management, business, and financial operations occupations","Unemployed-Management, business, and financial operations occupations","Unemployment rate-Management, business, and financial operations occupations",Employed-Professional and related occupations,Unemployed-Professional and related occupations,Unemployment rate-Professional and related occupations,Employed-Service occupations,Unemployed-Service occupations,Unemployment rate-Service occupations,Employed-Sales and office occupations,Unemployed-Sales and office occupations,Unemployment rate-Sales and office occupations,Employed-Sales and related occupations,Unemployed-Sales and related occupations,Unemployment rate-Sales and related occupations,Employed-Office and administrative support occupations,Unemployed-Office and administrative support occupations,Unemployment rate-Office and administrative support occupations,"Employed-Natural resources, construction, and maintenance occupations","Unemployed-Natural resources, construction, and maintenance occupations","Unemployment rate-Natural resources, construction, and maintenance occupations","Employed-Farming, fishing, and forestry occupations","Unemployed-Farming, fishing, and forestry occupations","Unemployment rate-Farming, fishing, and forestry occupations",Employed-Construction and extraction occupations,Unemployed-Construction and extraction occupations,Unemployment rate-Construction and extraction occupations,"Employed-Installation, maintenance, and repair occupations","Unemployed-Installation, maintenance, and repair occupations","Unemployment rate-Installation, maintenance, and repair occupations","Employed-Production, transportation, and material moving occupations","Unemployed-Production, transportation, and material moving occupations","Unemployment rate-Production, transportation, and material moving occupations",Employed-Production occupations,Unemployed-Production occupations,Unemployment rate-Production occupations,Employed-Transportation and material moving occupations,Unemployed-Transportation and material moving occupations,Unemployment rate-Transportation and material moving occupations
Jan-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual 1947,57038,2311,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1948,56339,2351,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1948,56440,2807,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1948,56601,2646,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1948,57471,2407,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1948,57763,2014,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1948,59724,2408,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1948,59955,2411,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
